name,roaster,roast,loc_country,origin_1,origin_2,100g_USD,rating,review_date,desc_1,desc_2,desc_3
Tumba Rwanda,Corvus Coffee Roasters,Light,United States,Rwanda,Chapada Diamantina Growing Region,4.56,93,May-18,"Resonant, sweet-savory, original. Baker’s chocolate, fragrant fresh-cut cedar, green grape, almond, wisteria in aroma and cup. Roundly tart, sweetly savory in structure; plushly syrupy mouthfeel. Flavor, particularly green grape and flowers, carries into a drying finish.","This exceptional coffee was selected as the No. 26 coffee on Coffee Review’s list of the Top 30 Coffees of 2018. From the Tumba washing station or wet mill operated by Venustre Mugraneza. Produced from trees of the Jackson variety of arabica, a local strain of the admired Bourbon variety. Wet-processed or “washed,” meaning the fruit skin and pulp were removed from the beans immediately after harvesting  Corvus Coffee Roasters is based in Denver, Colorado and specializes in rare and exclusive coffees from some of the finest growers in the world. Corvus particularly focuses on processing methods and selective harvesting, which result in small, seasonal micro-lots of uniquely sweet, vibrant, and clean flavor profiles. For more information, visit www.corvuscoffee.com.","Lovely expression of the genius of Rwanda coffees: roundly sweet-savory in structure, resonant in aromatics, luxurious in mouthfeel."
Yemen Microlot,Dragonfly Coffee Roasters,Light,United States,Yemen,Ethopia,33.07,96,Apr-18,"Delicate, high-toned, richly sweet. Caramelized apple, honeysuckle, baker’s chocolate, tangerine zest, frankincense in aroma and cup. Balanced structure with bright, juicy acidity; buoyant, syrupy mouthfeel. The deeply sweet, flavor-laden finish leads with notes of cacao nib and honeysuckle in the short and rich frankincense with hints of bittersweet citrus zest in the long.","This exceptional coffee was selected as the No. 7 coffee on Coffee Review’s list of the Top 30 Coffees of 2018. Although Ethiopia is the botanical home of Coffea Arabica, Yemen introduced the beverage to the rest of the world in the 16th and 17th centuries, and Yemen coffee is still grown from ancient heirloom cultivars of arabica on stone-walled terraces ringing fortress-like mountaintop villages. All Yemen coffees are natural-processed, or dried in the whole fruit. This is a particularly refined, elegant example of the this ancient style. Dragonfly Coffee is a Boulder, Colorado-based micro-roaster that produces high-quality coffees and supports worthy causes. Visit www.dragonflycoffeeroasters.com or call 303-579-2154 for more information.","A stunningly balanced, bright, flavor-saturated Yemen cup characterized by rich fruit and cocoa-toned floral notes throughout."
Brazil Fazenda Sertãozinho,Auto Coffee,Medium,Taiwan,São Sebastião Da Grama,São Paulo State,4.25,91,Aug-18,"Evaluated as espresso. Crisply sweet, spice-toned. Roasted cashew, gardenia, apricot, cardamom, baker’s chocolate in aroma and small cup. Satiny mouthfeel; richly layered finish with notes of chocolate and faintly smoky aromatic wood. Crisply and persuasively chocolaty in three parts milk.","This coffee earned the fifth-highest rating in a tasting of natural-processed single-origin espressos for Coffee Review’s August 2018 tasting report. Produced at Fazenda Sertãozinho entirely of the Yellow Bourbon variety of Arabica and processed by the natural method, meaning the beans were dried inside the fruit rather than after the fruit has been removed, as is the case with wet-processed or “washed” coffees. AUTO Coffee is a small coffee roastery based in New Taipei City, Taiwan. Visit www.holdcafe.com for more information.","A gently roast-toned natural-processed Brazil espresso that leads with notes of sweet nut and fruit, supported by an appealing cardamom-like spice. The nut and fruit turn distinctly chocolaty in milk."
Colombia Jairo Alcaraz,Temple Coffee and Tea,Medium,United States,Antoquia,Colombia,5.29,92,Aug-18,"Sweetly spice-toned. Mexican chocolate (chocolate and cinnamon), roasted almond, magnolia-like flowers, gently scorched oak, dried plum in aroma and cup. Sweet-savory structure with gentle, rounded acidity; lightly syrupy mouthfeel. The richly drying finish consolidates to notes of Mexican chocolate and magnolia, with suggestions of smoky aromatic wood.","Produced by Jairo Alcaraz at Finca La Honda of the Caturra and Colombia varieties of Arabica. This is a wet-processed or “washed” coffee, meaning the fruit skin and pulp were removed from the beans immediately after harvesting and before drying. Temple Coffee is a quality-focused retail and wholesale specialty roaster active in Sacramento, California since 2005. Committed to sourcing, roasting and brewing the finest coffees, Temple features coffee from distinguished single estates and cooperatives around the world. Visit www.templecoffee.com or call 916-454-1282 for more information.","A rich-toned Colombia cup, deftly roasted to foreground chocolate and spice notes."
Kenya Gatuya,Big Creek Coffee Roasters,Medium,United States,South-Central Kenya,Kiambu County,5,93,Oct-18,"Crisply sweet, richly cocoa-toned. Dark chocolate, hop flowers, apricot, oak, agave syrup in aroma and cup. Deeply sweet in structure with high-toned, lively acidity; satiny-smooth mouthfeel. The resonant finish is crisp with cocoa and apricot notes, followed by a hint of bittersweet hop flowers.","This coffee tied for the third-highest rating in a cupping of coffees from U.S. Mountain States roasters for Coffee Review’s October 2018 tasting report. Despite challenges ranging from contested government coffee policy and urban encroachment on prime coffee lands to chronically unstable weather, Kenya continues to produce some of the world’s most elegant and distinctive coffees. Big Creek Coffee Roasters is a small, quality-oriented batch roaster located in Montana’s Bitterroot Valley. Visit www.bigcreekcoffeeroasters.com or call 406-375-7508 for more information.","A complex, chocolaty and floral Kenya cup with pretty stone fruit notes throughout."
Kenya Kariru PB,Corvus Coffee Roasters,Light,United States,South-Central Kenya,South-Central Kenya,6.17,92,Oct-18,"Crisply sweet-tart, engagingly bright. Tangerine zest, baker’s chocolate, tamarind, orange blossom, molasses in aroma and cup. Sweet-tart structure with brisk acidity; velvety-smooth mouthfeel. Floral in the short finish, followed by notes of baker’s chocolate and citrus zest in the long.","This coffee tied for the fourth-highest rating in a cupping of coffees from U.S. Mountain States roasters for Coffee Review’s October 2018 tasting report. Despite challenges ranging from contested government coffee policy and urban encroachment on prime coffee lands to chronically unstable weather, Kenya continues to produce some of the world’s most elegant and distinctive coffees. Corvus Coffee Roasters is based in Denver, Colorado and specializes in rare and exclusive coffees from some of the finest growers in the world. Corvus particularly focuses on processing methods and selective harvesting, which result in small, seasonal micro-lots of uniquely sweet, vibrant, and clean flavor profiles. For more information, visit www.corvuscoffee.com.","A lively citrus- and cocoa-driven, richly sweet-tart Kenya cup."
Cupid Blend,709 Boutique Coffee,Medium,Taiwan,Guatemala,Indonesia,7.2,93,Oct-18,"Crisp, richly sweet. Baker’s chocolate, mango, fresh humus, maple syrup, narcissus-like flowers in aroma and cup. Sweet in structure with round, gentle acidity; full, syrupy mouthfeel. Notes of cocoa-toned mango lead the short finish, with fresh humus in the long.",709 Boutique Coffee was founded in 2010 as a coffee shop in Taichung. Roaster Huang Yu Hao offers both freshly roasted coffee and home-roasting lessons for customers. Visit https://goo.gl/gPXokY for more information. ,A chocolaty blend with notes of tropical fruit and sweet earth tones.
Foxfire Espresso,Vienna Coffee Company,Medium,United States,Brazil,Ethiopia,4.41,92,Nov-18,"Evaluated as espresso. Richly sweet, chocolate-toned. Magnolia, chocolate fudge, hazelnut, gently scorched cedar, banana in aroma and small cup. Velvety mouthfeel; cocoa-toned, floral finish. Both flowers and cocoa carry expressively into cappuccino-scaled milk.",A blend of coffees from Santo Andre Brazil and the Hambela Wamena District of Ethiopia. Vienna Coffee Company is a craft roastery and coffee shop with two locations in Tennessee. Visit www.viennacoffeecompany.com for more information.,"A fine classic espresso blend: deeply sweet and chocolaty, with supporting notes of rich aromatic wood and magnolia-like flowers."
Adanech Ethiopia Guji,Steady State Roasting Company,Light,United States,Guji Zone,Oromia Region,5.29,91,Nov-18,"Sweetly herbaceous, richly cocoa-toned. Baker’s chocolate, lemon verbena, toffee, allspice, hazelnut in aroma and cup. Sweet-toned structure with brisk acidity; velvety mouthfeel. The finish leads with lemon verbena and toffee in the short, segueing to spice-toned chocolate and hazelnut in the long.","Southern Ethiopia coffees like this one are largely produced from distinctive traditional Ethiopian varieties of Arabica long grown in the region. This is a dry-processed or “natural” coffee, meaning the beans were dried inside the fruit rather than after the fruit has been removed, as is the case with wet-processed or “washed” coffees. Steady State Roasting is an award-winning small-batch roastery dedicated to the craft and care of providing specialty coffee. The company takes pride in sourcing unique, high-quality coffee direct from farmers so that customers can enjoy fine coffee at home or in the Steady State tasting room in downtown Carlsbad, California. Visit www.steadystateroasting.com for more information.","An inviting, chocolaty natural-processed Ethiopia coffee with a throughline of sweet, citrusy herb notes suggesting lemon verbena."
Decaf Classic Espresso,Espresso Republic,Medium,United States,Antioquia,Colombia,4.98,90,Nov-18,"Evaluated as espresso. Richly sweet, cocoa-toned. Cocoa powder, date, magnolia, molasses, oak in aroma and small cup. Satiny-smooth mouthfeel; resonant, chocolaty finish with notes of magnolia and oak. In three parts milk, floral tones are amplified, and cocoa notes are integrated with roasty-sweet aromatic wood.","Decaffeinated at origin using ethyl acetate, a natural solvent derived from sugar cane. Espresso Republic, founded in 2010, specializes in sourcing quality coffees and roasting them in small batches for both retail and wholesale customers. Visit www.espressorepublic.com for more information.","A solid, straightfoward decaf espresso from Colombia, especially chocolaty in cappuccino-scaled milk."
Costa Rica Volcán Azúl Single-Origin Espresso,Temple Coffee and Tea,Medium,United States,Poás Volcano Region,Central Costa Rica,6.32,92,Nov-18,"Evaluated as espresso. Crisp, chocolate-toned and cedary. Dark chocolate, pecan, gently scorched cedar, ripe banana, tangerine zest in aroma and small cup. Lightly syrupy mouthfeel; roundly bittersweet in the finish: chocolate, cedar, tangerine. Cedar dominates in three parts milk, quietly enveloped by chocolate and ripe banana.","Produced at Finca Volcán Azúl from a mix of tree varieties. Processed by the dry or “natural” method, meaning the beans were dried inside the fruit rather than after the fruit has been removed, as is the case with wet-processed or ""washed"" coffees. Temple Coffee is a quality-focused retail and wholesale specialty roaster active in Sacramento, California since 2005. Committed to sourcing, roasting and brewing the finest coffees, Temple features coffee from distinguished single estates and cooperatives around the world. Visit www.templecoffee.com or call 916-454-1282 for more information.","Moderately-dark-roasted, this dried-in-the-fruit Costa Rica nets a quietly classic espresso profile: chocolaty, with a roast-toned, cedary depth and a zingy hint of tangerine."
Kenya Rugeto Peaberry,Temple Coffee and Tea,Medium,United States,Kirinyaga District,South-Central Kenya,5.88,93,Dec-18,"Richly sweet, spice-toned. Roasted cacao nib, tamarind, tangerine zest, freesia-like flowers, almond in aroma and cup. Sweet-tart structure with juicy acidity; crisp, satiny mouthfeel. Resonant finish centers on notes of cocoa-toned tamarind and freesia.","Produced by the Rungeto Farmer's Co-operative Society from trees of the admired SL28 and SL34 varieties of Arabica. Despite grower discontent and urban encroachment on prime coffee lands, Kenya and its dedicated cooperatives continue to produce some of the world’s most elegant and distinctive coffees. Temple Coffee is a quality-focused retail and wholesale specialty roaster active in Sacramento, California since 2005. Committed to sourcing, roasting and brewing the finest coffees, Temple features coffee from distinguished single estates and cooperatives around the world. Visit www.templecoffee.com or call 916-454-1282 for more information.",A balanced and engaging Kenya: high-toned with spicy floral and delicate cocoa notes.
Café Granja La Esperanza Sudan Rume Natural,PT's Coffee Roasting Co.,Medium,United States,Valle Del Cauca Growing Region,Colombia,16.53,95,Apr-19,"Shifting, original, startling in its giddy intricacy. Winey pine (think retsina wine), cocoa powder, green apple, Concord grape, ginger blossom, much more in aroma and cup. Sweetly and delicately pungent in structure. Lightly syrupy and almost effervescently buoyant in mouthfeel. The winey pine character and a floral sweetness carry persuasively into a crisp finish.","This exceptional coffee was selected as the No. 3 coffee on Coffee Review’s list of the Top 30 Coffees of 2019. Comprised entirely of beans from the rare Sudan Rume, a presumably very old variety of Arabica originally selected from wild trees growing on the Boma Plateau of Sudan, close to the border with Ethiopia. Processed by the dried-in-the-fruit or natural method. Produced by Rigoberto Herrera at Granja La Esperanza in Colombia, an innovative producer that specializes in impressive and innovative work with unusual cultivars of Arabica. Roasted at PT’s Coffee, where the motto is “without the love, it’s just coffee.” Visit www.ptscoffee.com or call 888-678-JAVA for more information.","A shape-shifter of a coffee: brilliant, original, absorbing."
Huta Raja Natural,Giv COFFEE,Light,United States,Simalungun Regency,North Sumatra Province,6.17,93,Apr-19,"Cocoa- and mango-toned, quietly zesty. Baker’s chocolate, mango, sandalwood, almond nougat, freesia-like flowers in aroma and cup. In structure, bittersweet with an enlivening tart edge; lightly syrupy mouthfeel. Finish sweetens and consolidates around cocoa, almond and sandalwood.","This coffee tied for the third-highest rating in a cupping of coffees from Sumatra for Coffee Review’s April 2019 tasting report. It is an atypical Sumatra, having been processed by the dried-in-the-fruit natural method, rather than by the washed and wet-hulled method most associated with Sumatra coffees. Giv COFFEE is dedicated to three goals: to provide quality coffee, to provide a fair price to farmers, and to give back to those in need. Giv COFFEE donates two dollars of every retail bag of coffee it sells. Visit www.givcoffee.com or call 860-874-5301 for more information.","An impressively clean, crisp, cocoa-toned (and atypical) natural-processed coffee from Sumatra."
Natural Burundi Nemba,Amavida Coffee Roasters,Light,United States,Kayanza,Kabuye,5.86,92,May-19,"Round, layered, sweet-savory, understated but original. Walnut, cocoa powder, maple syrup, hints of pear and rum in aroma and cup. Softly brisk in structure; syrupy and full in mouthfeel. Flavor consolidates around walnut and maple syrup in a gently drying finish. ","Burundi is a small, landlocked country in the Great Lakes region of Central Africa. Most coffee is grown in the mountains of the north, bordering Rwanda. Benefiting from ideal growing conditions and large plantings of local strains of the heirloom Bourbon variety of Arabica, Burundi coffees have developed an excellent and growing reputation. Processed by the dry or “natural” method, meaning the beans were dried inside the fruit rather than after the fruit has been removed, as is the case with wet-processed or ""washed"" coffees. The company name Amavida combines the Spanish words for love and life, reflecting Amavida’s multifaceted commitment to fairness and fine coffee. For further information visit www.amavida.com or call 850-213-1965.","A quietly original coffee: big-bodied, low-toned, crisply sweet-savory."
Colombia Tolima Monteverde Estate Natural Wush Wush,Dou Zhai Coffee & Roast,Medium,Taiwan,Tolima Department,Colombia,17.07,94,May-19,"Unorthodox but coherent and compelling. Pungent rose, fresh fennel frond, ripe cantaloupe, walnut, marshmallow in aroma and cup. Roundly sweet-savory in structure, with an impressively smooth, plush mouthfeel. Rose-like flowers prevail in a deeply rich finish. ","Produced on Monteverde Estate in Colombia by the Gilardo Gutierrez family from trees of the rare Ethiopia Wush Wush variety of Arabica. Processed by fermenting the fresh coffee fruit in an oxygen-free environment before drying it in the whole fruit. Dou Zhai Coffee is a café and roastery on a quiet lane in Taoyuan City, Taiwan, that offers a wide range of exceptional coffees. Visit www.douzhaicafe.com.tw for more information.","An extraordinary coffee, difficult to characterize in typical coffee language, yet deeply satisfying, ringing with quiet, resonant authority."
Yemen Matari,Baba Java Coffee,Medium,United States,Bani Matar Growing Region,Yemen,12.35,93,May-19,"Very sweet, richly perfumed, wood-framed. Pipe-tobacco, lychee fruit, spice box, freesia-like flowers, amber and musk in aroma and cup. Richly, densely composed structure, crisply tart acidity. Impressively syrupy-smooth mouthfeel. The finish consolidates pleasantly into a slightly drying though rich-toned, spicy tobacco.","Although Ethiopia is the botanical home of Coffea Arabica, Yemen introduced the beverage to the rest of the world in the 16th and 17th centuries, and Yemen coffee is still grown from ancient heirloom cultivars of arabica on stone-walled terraces ringing fortress-like mountaintop villages. All Yemen coffees are natural-processed, or dried in the whole fruit. This particular Yemen may owe its striking aromatics to ancient tree varieties, but its clean elegance is most likely owing to the efforts of exporter Rayyan Mill in the capital of Sana’a, which has worked with farmers to improve picturesque but often haphazard harvesting and drying procedures. Baba Java is a specialty roaster and cafe retailer located in Hoover Alabama, who strives to provide the best coffee experience at every step. Visit www.babajavacoffee.com or call 205-777-5984 for more information.","A complex and engaging rendition of the characteristically richly spicy, tobacco-toned, floral-fruity Yemen profile."
Karibu Espresso Blend,De Clieu Coffee,Light,Taiwan,Ethiopia,Panama,5.66,92,Jul-19,"Evaluated as espresso. Crisply sweet-tart, spice-toned. Baker’s chocolate, cardamom, tart cherry, fir, almond butter in aroma and small cup. Creamy body; bittersweet, wood-framed finish. Cardamom-toned chocolate blooms in three parts milk, along with sweet nut and tart fruit notes.","This coffee earned the second-highest rating in a tasting of “classic” espresso blends from Taiwanese roasters for Coffee Review’s June 2019 report. Comprised of three natural-processed Ethiopia coffees (Yirgacheffe, Gotiti and Shakisso) and a washed Panama Santa Clara Hartmann. De Clieu Coffee is a Taiwan-based roaster whose mission it is to explore extraordinary coffees. For more information, visit https://m.facebook.com/declieucoffeetaipei.","An unusual espresso blend, sweet and tart, with intriguing spice notes suggesting cardamom."
Karimikui AA Kenya,Collage Coffee,Light,United States,Central Kenya,Coto Brus,5.29,93,Jun-19,"Deep, rich, roundly pungent. Lime zest, date, maple syrup, magnolia, fresh-cut cedar. Balanced sweet-tart-savory in structure, with a lime-brightened gleam of acidity. Full, syrupy though drying mouthfeel. Flavor consolidates in a robust, layered short finish, fading and drying slightly in the long. ","Processed by a particularly meticulous Kenya variation on the traditional wet or “washed” method, in which skin and fruit flesh are removed from the beans or seeds in two stages before they are dried. AA is the highest grade of Kenya coffee based on bean size and freedom from imperfections. Colläge Coffee is a micro-roastery featuring specialty coffee and house brewed kombucha. Colläge works with local artists to promote fine arts in its region, and loves serving its community. This coffee is available for purchase at the Colläge store and cafe, 221 South Broad Street, Grove City, Pennsylvania.","A big, richly, authoritative sweet-savory Kenya, lifted and animated by shimmers of flowers and tart citrus."
